Transaction_ID,Date,Region,Product,Category,Units_Sold,Unit_Price,Total_Revenue,Sales_Rep
TXN001,2024-01-15,North America,Laptop Pro 15,Electronics,12,1299.99,15599.88,Sarah Johnson
TXN002,2024-01-18,Europe,Wireless Mouse,Electronics,45,29.99,1349.55,Michael Chen
TXN003,2024-01-22,Asia Pacific,Office Chair Deluxe,Furniture,8,349.99,2799.92,Emily Rodriguez
TXN004,2024-02-03,Latin America,Standing Desk,Furniture,5,599.99,2999.95,David Kim
TXN005,2024-02-10,North America,Mechanical Keyboard,Electronics,35,89.99,3149.65,Sarah Johnson
TXN006,2024-02-14,Europe,Monitor 27 inch,Electronics,15,399.99,5999.85,Michael Chen
TXN007,2024-02-20,Asia Pacific,Ergonomic Mouse,Electronics,60,39.99,2399.40,Emily Rodriguez
TXN008,2024-03-05,North America,USB-C Hub,Electronics,50,49.99,2499.50,Sarah Johnson
TXN009,2024-03-12,Europe,Laptop Stand,Accessories,25,79.99,1999.75,Michael Chen
TXN010,2024-03-18,Latin America,Webcam HD,Electronics,18,119.99,2159.82,David Kim
TXN011,2024-03-25,Asia Pacific,Desk Lamp LED,Accessories,40,59.99,2399.60,Emily Rodriguez
TXN012,2024-04-02,North America,Tablet 10 inch,Electronics,22,449.99,9899.78,Sarah Johnson
TXN013,2024-04-08,Europe,Wireless Headphones,Electronics,55,149.99,8249.45,Michael Chen
TXN014,2024-04-15,Asia Pacific,Laptop Backpack,Accessories,30,89.99,2699.70,Emily Rodriguez
TXN015,2024-04-22,Latin America,External SSD 1TB,Electronics,28,179.99,5039.72,David Kim
TXN016,2024-05-05,North America,Graphics Tablet,Electronics,10,299.99,2999.90,Sarah Johnson
TXN017,2024-05-12,Europe,Office Desk,Furniture,6,449.99,2699.94,Michael Chen
TXN018,2024-05-18,Asia Pacific,Printer All-in-One,Electronics,12,349.99,4199.88,Emily Rodriguez
TXN019,2024-05-25,North America,Smartphone Pro,Electronics,20,899.99,17999.80,Sarah Johnson
TXN020,2024-06-02,Latin America,Desk Organizer,Accessories,70,24.99,1749.30,David Kim
TXN021,2024-06-10,Europe,Executive Chair,Furniture,7,549.99,3849.93,Michael Chen
TXN022,2024-06-15,Asia Pacific,Cable Management Kit,Accessories,85,19.99,1699.15,Emily Rodriguez
TXN023,2024-06-22,North America,Smart Watch,Electronics,32,299.99,9599.68,Sarah Johnson
TXN024,2024-07-01,Europe,Laptop Pro 13,Electronics,18,1099.99,19799.82,Michael Chen
TXN025,2024-07-08,Latin America,Drawing Tablet,Electronics,9,399.99,3599.91,David Kim
TXN026,2024-07-15,Asia Pacific,Wireless Charger,Electronics,65,39.99,2599.35,Emily Rodriguez
TXN027,2024-07-22,North America,4K Monitor,Electronics,14,699.99,9799.86,Sarah Johnson
TXN028,2024-08-01,Europe,Noise Cancelling Headphones,Electronics,42,279.99,11759.58,Michael Chen
TXN029,2024-08-08,Asia Pacific,Portable SSD 2TB,Electronics,25,299.99,7499.75,Emily Rodriguez
TXN030,2024-08-15,Latin America,Conference Speaker,Electronics,16,199.99,3199.84,David Kim
TXN031,2024-08-22,North America,Docking Station,Electronics,24,249.99,5999.76,Sarah Johnson
TXN032,2024-09-02,Europe,Adjustable Desk,Furniture,11,499.99,5499.89,Michael Chen
TXN033,2024-09-10,Asia Pacific,Blue Light Glasses,Accessories,90,49.99,4499.10,Emily Rodriguez
TXN034,2024-09-18,North America,Laptop Sleeve,Accessories,55,34.99,1924.45,Sarah Johnson
TXN035,2024-09-25,Latin America,USB Flash Drive 128GB,Electronics,100,29.99,2999.00,David Kim
TXN036,2024-10-01,Europe,Mechanical Keyboard RGB,Electronics,38,149.99,5699.62,Michael Chen
TXN037,2024-10-08,Asia Pacific,Monitor Arm,Accessories,20,79.99,1599.80,Emily Rodriguez
TXN038,2024-10-15,North America,Laptop Cooling Pad,Accessories,48,44.99,2159.52,Sarah Johnson
TXN039,2024-10-22,Europe,Curved Monitor 34,Electronics,8,899.99,7199.92,Michael Chen
TXN040,2024-10-28,Latin America,Wireless Presenter,Electronics,33,69.99,2309.67,David Kim
TXN041,2024-01-20,North America,Gaming Mouse,Electronics,52,79.99,4159.48,Sarah Johnson
TXN042,2024-02-28,Europe,Standing Mat,Accessories,44,39.99,1759.56,Michael Chen
TXN043,2024-03-30,Asia Pacific,Document Scanner,Electronics,13,249.99,3249.87,Emily Rodriguez
TXN044,2024-04-25,North America,Wireless Keyboard,Electronics,47,69.99,3289.53,Sarah Johnson
TXN045,2024-05-30,Latin America,Monitor Privacy Screen,Accessories,29,59.99,1739.71,David Kim
TXN046,2024-06-28,Europe,Laptop Riser,Accessories,36,49.99,1799.64,Michael Chen
TXN047,2024-07-30,Asia Pacific,USB Microphone,Electronics,21,129.99,2729.79,Emily Rodriguez
TXN048,2024-08-28,North America,Ring Light,Electronics,27,89.99,2429.73,Sarah Johnson
TXN049,2024-09-28,Europe,Desk Cable Tray,Accessories,62,24.99,1549.38,Michael Chen
TXN050,2024-10-30,Latin America,Laptop Battery Pack,Electronics,19,99.99,1899.81,David Kim
